id,amount,sku_external_id,supplier_article,warehouse_name,quantityFull,in_way_to_client,in_way_from_client,techSize,price,discount,warehouse_id,product_id,created_at,updated_at
1404,6,OZN1034216436,AF00265INT,Электросталь,28,21,1,0,1360.00,75,3,83,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1388,75,OZN1552373979,AF00463INT,Краснодар,79,4,0,0,1600.00,80,2,13,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1411,0,OZN1031685505,AF00209INT,Электросталь,13,12,1,0,1320.00,64,3,73,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1367,76,OZN1017642528,TRANAF00240NT,Краснодар,79,3,0,0,1347.00,74,2,162,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1490,57,OZN937455317,AF00191INT,Краснодар,57,0,0,0,1295.00,76,2,220,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1465,51,OZN1101530078,AF00325INT,Электросталь,51,0,0,0,1347.00,74,3,180,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1464,31,OZN1101530078,AF00325INT,Коледино,38,7,0,0,1347.00,74,5,180,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1444,0,OZN885958085,AF00174INT,Крыловская,0,0,0,0,1335.00,73,21,71,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1439,6,OZN1017612735,TRANAF00238INT,Казань,6,0,0,0,1295.00,76,4,259,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1480,0,OZN1624259725,AF00526INT,Коледино,28,26,2,0,1390.00,73,5,77,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1472,0,OZN1422357223,AF00448INT,Пушкино,0,0,0,0,1320.00,75,27,143,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1448,58,OZN895260057,AF00180INT,Коледино,92,30,4,0,1360.00,75,5,203,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1485,0,OZN1025241565,TRANAF00255INT,Рязань (Тюшевское),0,0,0,0,1335.00,73,19,273,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1488,0,OZN852818820,TRANAF00146INT,Рязань (Тюшевское),0,0,0,0,1335.00,73,19,39,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1474,0,OZN1426976116,AF00455INT,Радумля 1,0,0,0,0,1335.00,73,23,97,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1462,23,OZN1422399658,AF00444INT,Коледино,35,11,1,0,1360.00,75,5,147,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1461,17,OZN838410074,AF00120INT,Коледино,26,9,0,0,1347.00,74,5,191,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1482,0,OZN823199971,AF00102INT,Коледино,2,2,0,0,1347.00,74,5,252,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1454,0,OZN1034216436,AF00265INT,Минск,0,0,0,0,1360.00,75,24,83,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1458,45,OZN1077597764,AF00316INT,Краснодар,45,0,0,0,1700.00,75,2,247,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1457,21,OZN1075937861,AF00308INT,Коледино,30,9,0,0,1335.00,73,5,174,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1455,41,OZN1034238708,AF00267INT,Коледино,75,31,3,0,1600.00,80,5,25,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1478,0,OZN1557425715,AF00487INT,Коледино,10,10,0,0,1360.00,75,5,136,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1438,0,OZN852673291,TRANAF00144INT,Минск,0,0,0,0,1320.00,75,24,9,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1469,62,OZN1415870296,AF00433INT,Краснодар,89,9,18,0,1335.00,73,2,18,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1450,0,OZN1000913697,AF00197INT,Электросталь,10,9,1,0,1600.00,80,3,198,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1477,0,OZN1600288950,UVTRANAF00486INT,Коледино,7,7,0,0,1335.00,70,5,40,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1442,0,OZN823224039,AF00104INT,Рязань (Тюшевское),0,0,0,0,1335.00,70,19,38,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1487,0,OZN827002586,AF00114INT,Коледино,14,14,0,0,1347.00,74,5,186,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1471,20,OZN1422357223,AF00448INT,Коледино,48,21,7,0,1320.00,75,5,143,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1481,63,OZN780141756,TRANAF0031INT,Коледино,82,17,2,0,1600.00,80,5,64,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1460,25,OZN1405069804,AF00417INT,Электросталь,38,12,1,0,1335.00,73,3,91,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1468,124,OZN1403724758,AF00416INT,Краснодар,218,40,54,0,1390.00,73,2,85,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1489,93,OZN862471405,AF00162INT,Коледино,128,22,13,0,1320.00,75,5,5,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1431,7,OZN1555948710,AF00496INT,Краснодар,13,3,3,0,1335.00,73,2,100,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1453,44,OZN1032408678,AF00263INT,Электросталь,53,9,0,0,1295.00,76,3,26,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1434,80,OZN1402019503,AF00414INT,Коледино,98,17,1,0,1295.00,76,5,4,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1429,0,OZN1427093585,TRANAF00456INT,Коледино,3,2,1,0,1360.00,75,5,119,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1447,112,OZN1405069804,AF00417INT,Краснодар,113,1,0,0,1335.00,73,2,91,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1445,0,OZN1062772811,TRANAF00294INT,Казань,1,1,0,0,1360.00,75,4,245,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1430,0,OZN1555948710,AF00496INT,Коледино,10,10,0,0,1335.00,73,5,100,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1451,4,OZN827002586,AF00114INT,Краснодар,13,7,2,0,1347.00,74,2,186,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1479,9,OZN1564127358,AF00491INT,Коледино,20,11,0,0,1347.00,74,5,125,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
